open,close,low,high,volume,amount,symbol,type,start_timestamp,end_timestamp
43959.5,43952.35,43950.6,43987.59,98.602648,4335847.47574912,SPOT_BTC_USDT,5m,2023-12-07 06:15:00,2023-12-07 06:20:00
43952.29,43950.07,43935.82,43956.8,93.477752,4107880.36477868,SPOT_BTC_USDT,5m,2023-12-07 06:20:00,2023-12-07 06:25:00
43950.07,43955.19,43930.28,43959.6,118.673754,5214698.96583649,SPOT_BTC_USDT,5m,2023-12-07 06:25:00,2023-12-07 06:30:00
43957.29,43910.56,43901.7,43959.58,121.112426,5320936.71829494,SPOT_BTC_USDT,5m,2023-12-07 06:30:00,2023-12-07 06:35:00
43906.17,43940.0,43900.0,43944.4,97.997296,4303295.68572504,SPOT_BTC_USDT,5m,2023-12-07 06:35:00,2023-12-07 06:40:00
43939.99,43934.73,43923.2,43949.7,57.836538,2541194.27876186,SPOT_BTC_USDT,5m,2023-12-07 06:40:00,2023-12-07 06:45:00
43930.34,43862.0,43861.34,43934.8,150.914086,6623651.45046219,SPOT_BTC_USDT,5m,2023-12-07 06:45:00,2023-12-07 06:50:00
43862.01,43881.53,43833.84,43886.9,171.511622,7522963.262443,SPOT_BTC_USDT,5m,2023-12-07 06:50:00,2023-12-07 06:55:00
43881.9,43869.66,43865.26,43904.4,125.551948,5510231.82467076,SPOT_BTC_USDT,5m,2023-12-07 06:55:00,2023-12-07 07:00:00
43865.52,43897.1,43862.14,43901.5,118.893052,5217237.36268228,SPOT_BTC_USDT,5m,2023-12-07 07:00:00,2023-12-07 07:05:00
43896.25,43910.3,43892.74,43921.0,70.729046,3105578.46453612,SPOT_BTC_USDT,5m,2023-12-07 07:05:00,2023-12-07 07:10:00
43910.29,43935.2,43905.91,43941.09,124.780514,5480605.71912723,SPOT_BTC_USDT,5m,2023-12-07 07:10:00,2023-12-07 07:15:00
43936.0,43906.95,43906.72,43949.4,94.818127,4166028.00186804,SPOT_BTC_USDT,5m,2023-12-07 07:15:00,2023-12-07 07:20:00
43910.77,43938.9,43903.17,43939.6,107.337338,4714548.8174569,SPOT_BTC_USDT,5m,2023-12-07 07:20:00,2023-12-07 07:25:00
43938.04,43942.43,43938.0,43946.9,35.185946,1546157.55144268,SPOT_BTC_USDT,5m,2023-12-07 07:25:00,2023-12-07 07:30:00
43940.27,43909.1,43903.47,43946.9,116.08068,5099079.51359664,SPOT_BTC_USDT,5m,2023-12-07 07:30:00,2023-12-07 07:35:00
43909.1,43890.74,43877.3,43909.1,108.76712,4774401.63428214,SPOT_BTC_USDT,5m,2023-12-07 07:35:00,2023-12-07 07:40:00
