open,close,low,high,volume,amount,symbol,type,start_timestamp,end_timestamp
2265.0,2266.81,2263.37,2266.95,1151.472769,2608081.21837866,SPOT_ETH_USDT,5m,2023-12-07 06:25:00,2023-12-07 06:30:00
2266.8,2264.14,2263.87,2266.84,635.691771,1440430.11485503,SPOT_ETH_USDT,5m,2023-12-07 06:30:00,2023-12-07 06:35:00
2264.14,2264.53,2263.0,2264.65,700.470468,1585625.93000859,SPOT_ETH_USDT,5m,2023-12-07 06:35:00,2023-12-07 06:40:00
2264.52,2263.72,2263.66,2266.8,1513.663114,3428788.59990936,SPOT_ETH_USDT,5m,2023-12-07 06:40:00,2023-12-07 06:45:00
2263.71,2259.81,2258.54,2263.88,1782.940896,4030643.30470061,SPOT_ETH_USDT,5m,2023-12-07 06:45:00,2023-12-07 06:50:00
2259.82,2260.01,2258.32,2261.06,1166.587054,2636531.60020995,SPOT_ETH_USDT,5m,2023-12-07 06:50:00,2023-12-07 06:55:00
2260.02,2260.39,2260.01,2262.75,763.125689,1725999.83792521,SPOT_ETH_USDT,5m,2023-12-07 06:55:00,2023-12-07 07:00:00
2260.44,2262.68,2260.35,2263.32,551.832046,1248171.27400065,SPOT_ETH_USDT,5m,2023-12-07 07:00:00,2023-12-07 07:05:00
2262.68,2262.06,2261.83,2263.43,863.610817,1953996.15168827,SPOT_ETH_USDT,5m,2023-12-07 07:05:00,2023-12-07 07:10:00
2262.05,2263.91,2262.05,2264.26,566.844323,1282853.68284957,SPOT_ETH_USDT,5m,2023-12-07 07:10:00,2023-12-07 07:15:00
2263.91,2261.21,2260.74,2264.72,770.497869,1743934.98438433,SPOT_ETH_USDT,5m,2023-12-07 07:15:00,2023-12-07 07:20:00
2261.2,2263.4,2261.06,2264.55,610.042424,1380354.55600326,SPOT_ETH_USDT,5m,2023-12-07 07:20:00,2023-12-07 07:25:00
2263.41,2264.23,2263.27,2265.23,519.820758,1177121.92011703,SPOT_ETH_USDT,5m,2023-12-07 07:25:00,2023-12-07 07:30:00
2264.23,2262.31,2261.18,2264.7,901.284402,2039652.53830732,SPOT_ETH_USDT,5m,2023-12-07 07:30:00,2023-12-07 07:35:00
2262.15,2260.61,2260.3,2262.31,1075.622095,2432423.76491906,SPOT_ETH_USDT,5m,2023-12-07 07:35:00,2023-12-07 07:40:00
2260.6,2261.87,2259.9,2262.46,947.794653,2143533.10070731,SPOT_ETH_USDT,5m,2023-12-07 07:40:00,2023-12-07 07:45:00
2261.87,2261.65,2261.49,2262.39,603.693295,1365456.31670299,SPOT_ETH_USDT,5m,2023-12-07 07:45:00,2023-12-07 07:50:00
2261.65,2261.68,2260.76,2262.45,460.380341,1041292.70091318,SPOT_ETH_USDT,5m,2023-12-07 07:50:00,2023-12-07 07:55:00
2261.62,2261.67,2261.53,2262.0,392.901484,888631.73104921,SPOT_ETH_USDT,5m,2023-12-07 07:55:00,2023-12-07 08:00:00
2261.67,2261.99,2259.65,2262.44,2438.929236,5514896.09727701,SPOT_ETH_USDT,5m,2023-12-07 08:00:00,2023-12-07 08:05:00
2262.0,2267.39,2261.99,2268.0,2436.15793,5517607.04293716,SPOT_ETH_USDT,5m,2023-12-07 08:05:00,2023-12-07 08:10:00
