ts,price,spread,size_spread
1727742410.008,63345.0,25.369999999995343,2.5411
1727742411.008,63342.0,25.349999999998545,1.4378600000000001
1727742412.007,63335.0,25.349999999998545,-1.4381300000000001
1727742413.007,63334.0,25.35000000000582,2.68778
1727742414.007,63321.0,25.35000000000582,4.284610000000001
1727742415.009,63319.0,25.349999999998545,3.4029399999999996
1727742416.008,63311.0,25.35000000000582,1.1802399999999997
1727742417.007,63311.0,25.349999999998545,6.0327910000000005
1727742418.007,63318.0,25.349999999998545,-4.517111
1727742419.007,63315.0,25.35000000000582,3.1342700000000003
1727742420.007,63315.0,25.35000000000582,2.7553399999999995
1727742421.008,63311.0,25.349999999998545,6.054538
1727742422.009,63302.0,25.349999999998545,4.6602950000000005
1727742423.009,63294.0,25.35000000000582,2.865544
1727742424.009,63292.0,25.35000000000582,4.131234
1727742425.007,63295.0,25.35000000000582,-1.672766
1727742426.007,63295.0,25.35000000000582,-1.8443760000000002
1727742427.007,63295.0,25.35000000000582,-2.2744359999999997
1727742428.007,63309.0,25.349999999998545,-6.24731
1727742429.008,63313.0,25.349999999998545,-8.764261
1727742430.008,63321.0,25.35000000000582,-2.46985
1727742431.008,63321.0,25.35000000000582,-0.14383999999999997
1727742432.007,63315.0,25.349999999998545,5.29845
1727742433.008,63308.0,25.35000000000582,4.84027
1727742434.007,63301.0,25.349999999998545,6.599905
1727742435.007,63301.0,25.349999999998545,5.408335
1727742436.008,63295.0,25.349999999998545,-0.7518499999999999
1727742437.009,63295.0,25.349999999998545,-0.17188999999999988
1727742438.007,63296.0,25.349999999998545,-3.53652
1727742439.007,63300.0,25.35000000000582,-2.6767199999999995
1727742440.007,63311.0,25.349999999998545,-5.235774
1727742441.008,63313.0,25.349999999998545,-3.454204
1727742442.007,63312.0,25.349999999998545,-0.05813399999999991
1727742443.007,63313.0,25.349999999998545,-2.1024339999999997
1727742444.008,63312.0,25.349999999998545,1.5812359999999999
1727742445.007,63312.0,25.349999999998545,0.09474599999999977
1727742446.007,63315.0,25.35000000000582,-7.45653
1727742447.007,63316.0,25.35000000000582,-7.02525
1727742448.008,63332.0,25.349999999998545,-7.43476
1727742449.008,63334.0,25.349999999998545,-1.5306719999999998
1727742450.007,63343.0,25.349999999998545,-10.634929
1727742451.007,63341.0,25.349999999998545,-0.4958280000000004
1727742452.007,63344.0,25.349999999998545,-6.800784999999999
1727742453.008,63342.0,25.37000000000262,4.9110499999999995
1727742454.009,63342.0,25.37000000000262,1.3908399999999999
1727742455.007,63342.0,25.37000000000262,2.21891
1727742456.007,63344.0,25.37000000000262,-0.7504599999999999
1727742457.008,63345.0,25.369999999995343,-7.6689
1727742458.008,63348.0,25.37000000000262,-6.40707
1727742459.007,63343.0,25.369999999995343,2.48625
1727742460.008,63343.0,25.369999999995343,2.2143400000000004
1727742461.012,63346.0,25.369999999995343,-3.73102
1727742462.008,63346.0,25.369999999995343,-4.07727
1727742463.008,63346.0,25.369999999995343,-3.10312
1727742464.008,63347.0,25.369999999995343,-0.10863999999999985
1727742465.007,63344.0,25.369999999995343,2.78303
1727742466.007,63343.0,25.369999999995343,4.4761999999999995
1727742467.007,63338.0,25.349999999998545,5.280816
1727742468.007,63335.0,25.349999999998545,3.310136
1727742469.008,63334.0,25.349999999998545,4.747305
1727742470.007,63334.0,25.349999999998545,4.662315
1727742471.007,63335.0,25.349999999998545,1.3685450000000001
1727742472.007,63337.0,25.349999999998545,-2.779275
1727742473.009,63326.0,25.349999999998545,6.63947
1727742474.007,63321.0,25.349999999998545,6.911903
1727742475.009,63314.0,25.349999999998545,6.342089
1727742476.008,63314.0,25.349999999998545,6.504789
1727742477.007,63313.0,25.35000000000582,4.706770000000001
1727742478.008,63310.0,25.349999999998545,-2.667835
1727742479.007,63295.0,25.349999999998545,4.720586
1727742480.008,63290.0,25.330000000001746,7.0296769999999995
1727742481.008,63290.0,25.330000000001746,6.704826
1727742482.007,63290.0,25.330000000001746,4.2752360000000005
1727742483.007,63290.0,25.330000000001746,5.772805999999999
1727742484.009,63290.0,25.330000000001746,4.486756
1727742485.007,63290.0,25.330000000001746,5.039366
1727742486.007,63290.0,25.330000000001746,3.9737659999999995
1727742487.008,63298.0,25.349999999998545,-6.15038
1727742488.007,63296.0,25.349999999998545,-3.3491199999999997
1727742489.008,63296.0,25.349999999998545,-3.9524000000000004
1727742490.007,63297.0,25.349999999998545,-6.2347600000000005
1727742491.007,63297.0,25.349999999998545,-6.24463
1727742492.008,63304.0,25.349999999998545,-9.694356
1727742493.008,63308.0,25.349999999998545,-5.559191
1727742494.007,63304.0,25.35000000000582,4.41408
1727742495.007,63304.0,25.35000000000582,3.80877
1727742496.007,63304.0,25.35000000000582,3.07551
1727742497.007,63305.0,25.35000000000582,2.48299
1727742498.008,63305.0,25.35000000000582,2.48224
1727742499.008,63305.0,25.35000000000582,2.50771
1727742500.008,63305.0,25.35000000000582,3.08868
1727742501.007,63301.0,25.349999999998545,-4.615008
1727742502.007,63305.0,25.349999999998545,-4.481508
1727742503.008,63300.0,25.349999999998545,7.285071
1727742504.008,63292.0,25.330000000001746,3.3754000000000004
1727742505.008,63292.0,25.330000000001746,4.4362900000000005
1727742506.007,63285.0,25.330000000001746,6.719855
1727742507.007,63280.0,25.330000000001746,4.9585799999999995
1727742508.007,63280.0,25.330000000001746,1.9028300000000002
1727742509.007,63282.0,25.330000000001746,1.23855
1727742510.007,63281.0,25.330000000001746,3.21129
1727742511.008,63272.0,25.330000000001746,4.36897
1727742512.01,63268.0,25.330000000001746,4.01723
