ts,price,spread,size_spread
1727875998.007,60831,24.349999999998545,-3.40487
1727875999.007,60825,24.35000000000582,2.98286
1727876000.007,60825,24.35000000000582,2.8610599999999997
1727876001.008,60841,24.349999999998545,-2.18096
1727876002.007,60841,24.349999999998545,1.20512
1727876003.008,60823,24.349999999998545,5.612071
1727876004.008,60811,24.349999999998545,3.819595
1727876005.008,60807,24.349999999998545,3.1992549999999995
1727876006.007,60809,24.349999999998545,-5.20989
1727876007.007,60808,24.349999999998545,-0.5393999999999999
1727876008.007,60807,24.349999999998545,1.51051
1727876009.008,60807,24.349999999998545,1.59619
1727876010.008,60794,24.330000000001746,5.385166
1727876011.007,60793,24.330000000001746,4.001526
1727876012.009,60795,24.330000000001746,2.63022
1727876013.007,60795,24.330000000001746,0.32560999999999973
1727876014.008,60800,24.330000000001746,-2.019475
1727876015.008,60806,24.35000000000582,1.06082
1727876016.008,60812,24.349999999998545,-6.003891
1727876017.008,60819,24.349999999998545,-4.847122
1727876018.008,60819,24.349999999998545,-4.861652
1727876019.007,60819,24.35000000000582,1.8686500000000001
1727876020.007,60802,24.349999999998545,4.880032
1727876021.008,60796,24.330000000001746,7.55228
1727876022.008,60796,24.330000000001746,7.54956
1727876023.007,60783,24.330000000001746,1.60393
1727876024.008,60792,24.330000000001746,-1.34184
1727876025.008,60792,24.330000000001746,1.9129
1727876026.008,60787,24.330000000001746,4.197419999999999
1727876027.008,60776,24.330000000001746,5.811484
1727876028.007,60774,24.330000000001746,-5.65619
1727876029.008,60775,24.330000000001746,-3.07968
1727876030.007,60776,24.330000000001746,-2.62167
1727876031.008,60777,24.330000000001746,-5.859731
1727876032.007,60775,24.330000000001746,0.7532999999999999
1727876033.007,60772,24.330000000001746,-0.7000039999999998
1727876034.007,60771,24.330000000001746,-1.716831
1727876035.008,60776,24.330000000001746,-1.5471400000000002
1727876036.008,60777,24.330000000001746,-2.47577
1727876037.008,60778,24.330000000001746,-1.22213
1727876038.008,60778,24.330000000001746,-1.7364100000000002
1727876039.009,60770,24.330000000001746,1.1626699999999999
1727876040.007,60771,24.330000000001746,1.2093099999999999
1727876041.007,60770,24.330000000001746,0.6679200000000001
1727876042.008,60770,24.330000000001746,3.82398
1727876043.007,60767,24.330000000001746,-0.9088310000000002
1727876044.009,60756,24.330000000001746,5.1141440000000005
1727876045.007,60751,24.31999999999971,5.113428000000001
1727876046.007,60747,24.30999999999767,-2.56279
1727876047.009,60746,24.30999999999767,2.3146899999999997
1727876048.007,60744,24.30999999999767,3.0089699999999997
1727876049.007,60729,24.30999999999767,1.4519599999999997
1727876050.008,60726,24.30999999999767,0.06835000000000002
1727876051.007,60719,24.30999999999767,4.486206999999999
1727876052.008,60720,24.30999999999767,4.887307
1727876053.008,60737,24.30999999999767,-2.7618
1727876054.007,60735,24.30999999999767,2.40449
1727876055.008,60743,24.30999999999767,1.8307099999999998
1727876056.008,60737,24.310000000004948,3.138532
1727876057.008,60721,24.30999999999767,-0.030987000000000098
1727876058.008,60715,24.310000000004948,3.083988
1727876059.009,60712,24.310000000004948,5.115736
1727876060.007,60714,24.310000000004948,-1.6442229999999998
1727876061.008,60747,25.62999999999738,-0.7321799999999999
1727876062.009,60764,24.330000000001746,-3.5497300000000003
1727876063.007,60766,24.330000000001746,1.6370900000000002
1727876064.007,60769,24.32999999999447,4.24541
1727876065.007,60768,24.330000000001746,4.64296
1727876066.008,60764,24.330000000001746,3.92806
1727876067.008,60764,24.330000000001746,3.5131499999999996
1727876068.009,60777,24.330000000001746,-4.81252
1727876069.007,60788,24.330000000001746,-7.89347
1727876070.008,60796,24.32999999999447,-7.2499400000000005
1727876071.008,60814,24.349999999998545,-4.037369999999999
1727876072.007,60813,24.35000000000582,2.58262
1727876073.008,60814,24.35000000000582,2.56138
1727876074.007,60811,24.349999999998545,5.0704
1727876075.007,60788,24.32999999999447,0.76492
1727876076.007,60787,24.330000000001746,-4.65578
1727876077.007,60799,24.349999999998545,-4.90592
1727876078.007,60795,24.330000000001746,3.33
1727876079.007,60794,24.330000000001746,-1.15062
1727876080.008,60788,24.330000000001746,6.634911000000001
1727876081.008,60788,24.330000000001746,-1.320259
1727876082.007,60786,24.330000000001746,-3.1935149999999997
1727876083.007,60798,24.330000000001746,-5.811024
1727876084.008,60801,24.349999999998545,-0.9844970000000002
1727876085.008,60795,24.32999999999447,4.93239
1727876086.007,60794,24.330000000001746,-1.60644
1727876087.008,60794,24.32999999999447,1.6112799999999998
1727876088.007,60778,24.330000000001746,3.3575720000000002
1727876089.007,60775,24.330000000001746,-1.10157
1727876090.007,60774,24.330000000001746,-5.15948
1727876091.007,60769,24.330000000001746,3.680376
1727876092.008,60770,24.330000000001746,-4.79071
1727876093.009,60768,24.330000000001746,-8.228581
1727876094.008,60777,24.330000000001746,-5.902
1727876095.01,60791,24.330000000001746,-3.470126
1727876096.008,60796,24.330000000001746,0.11975999999999987
1727876097.007,60796,24.330000000001746,2.16724
1727876098.007,60794,24.330000000001746,2.17706
1727876099.01,60797,24.35000000000582,-2.25709
1727876100.008,60811,24.349999999998545,-6.777645
1727876101.008,60803,24.349999999998545,5.65682
1727876102.007,60784,24.330000000001746,3.9842799999999996
1727876103.008,60783,24.330000000001746,2.5179799999999997
1727876104.007,60785,24.330000000001746,-3.466007
1727876105.007,60797,24.340000000003783,5.037471
1727876106.008,60788,24.330000000001746,1.6786499999999998
1727876107.008,60774,24.330000000001746,4.633811
1727876108.007,60771,24.330000000001746,-1.415547
1727876109.01,60771,24.330000000001746,1.459429
