ts,price,imbalance,total_buy,total_sell
1727742478.008,63310.0,23.284796999999994,10.824230999999992,12.460566000000002
1727742479.007,63295.0,34.40939399999999,11.62792599999999,22.781468
1727742480.008,63290.0,34.78897099999999,11.62852599999999,23.160445
1727742481.008,63290.0,35.16190799999999,11.893572999999991,23.268334999999997
1727742482.007,63290.0,35.31254799999999,11.899432999999991,23.413115
1727742483.007,63290.0,35.35169599999999,11.902650999999992,23.449045
1727742484.009,63290.0,35.357445999999996,11.902650999999992,23.454795
1727742485.007,63290.0,35.40884599999999,11.905010999999991,23.503835
1727742486.007,63290.0,35.47864599999999,11.93912099999999,23.539525
1727742487.008,63298.0,38.16305999999999,14.59055699999999,23.572503
1727742488.007,63296.0,38.53143299999999,14.958719999999989,23.572713
1727742489.008,63296.0,38.820312999999985,14.959679999999988,23.860633
1727742490.007,63297.0,38.95143999999999,15.052699999999987,23.89874
1727742491.007,63297.0,38.962459999999986,15.063709999999986,23.89875
1727742492.008,63304.0,39.72208899999998,15.764548999999986,23.957539999999998
1727742493.008,63308.0,39.99694599999998,16.039405999999985,23.957539999999998
1727742494.007,63304.0,40.16852999999999,16.049655999999988,24.118873999999998
1727742495.007,63304.0,40.25105999999998,16.07215599999999,24.178903999999996
1727742496.007,63304.0,40.28257999999998,16.072465999999988,24.210113999999997
1727742497.007,63305.0,40.32584199999998,16.078988999999986,24.246852999999998
1727742498.008,63305.0,40.33408099999998,16.087217999999986,24.246862999999998
1727742499.008,63305.0,40.339224999999985,16.089105999999987,24.250118999999998
1727742500.008,63305.0,40.347034999999984,16.096915999999986,24.250118999999998
1727742501.007,63301.0,40.44572799999999,16.099065999999986,24.346662
1727742502.007,63305.0,40.47251399999999,16.12574199999999,24.346771999999998
1727742503.008,63300.0,40.47537099999998,16.127661999999987,24.347709
1727742504.008,63292.0,41.227119999999985,16.128081999999985,25.099038
1727742505.008,63292.0,41.27603999999998,16.161271999999986,25.114767999999998
1727742506.007,63285.0,41.63195899999998,16.220481999999986,25.411476999999994
1727742507.007,63280.0,42.21209399999998,16.228311999999985,25.98378199999999
1727742508.007,63280.0,42.22937399999998,16.228691999999985,26.00068199999999
1727742509.007,63282.0,42.35699199999998,16.270191999999984,26.086799999999993
1727742510.007,63281.0,42.361601999999976,16.270191999999984,26.091409999999993
1727742511.008,63272.0,42.433029999999974,16.280601999999984,26.152427999999993
1727742512.01,63268.0,43.580359999999985,16.286041999999984,27.294317999999997
1727742513.007,63268.0,43.622078999999985,16.310170999999983,27.311908
1727742514.007,63268.0,43.70210899999998,16.315530999999982,27.386578
1727742515.007,63269.0,43.738908999999985,16.320980999999982,27.417928000000003
