ts,price,imblance,buy_order_flow,net_flow,sell_order_flow
1727742411.008,63342.0,4.966749999999999,0.7881360000000002,-0.9536960000000012,1.7418320000000014
1727742412.007,63335.0,-1.126081999999999,1.9268869999999996,6.092831999999999,-4.165944999999999
1727742413.007,63334.0,4.705517,-2.5668369999999996,-5.831599,3.264762
1727742414.007,63321.0,6.042303999999999,-0.8340450000000001,-1.336786999999998,0.5027419999999978
1727742415.009,63319.0,8.742685000000002,1.350915,-2.7003810000000024,4.0512960000000025
1727742416.008,63311.0,1.3578440000000005,0.28824099999999975,7.384841,-7.0966000000000005
1727742417.007,63311.0,12.034560000000003,-1.7379499999999999,-10.676716,8.938766000000001
1727742418.007,63318.0,-9.812801,12.650764000000002,21.847361000000003,-9.196597
1727742419.007,63315.0,2.784605999999999,-9.276510000000002,-12.597407,3.3208969999999987
1727742420.007,63315.0,1.4442159999999982,0.5419500000000004,1.3403900000000006,-0.7984400000000003
1727742421.008,63311.0,1.414962,-2.6702990000000004,0.029253999999998115,-2.6995529999999985
1727742422.009,63302.0,5.965983000000001,-1.4245260000000002,-4.551021,3.1264950000000007
1727742423.009,63294.0,2.884109999999999,2.3457269999999997,3.081873000000002,-0.7361460000000024
1727742424.009,63292.0,15.618250999999999,-1.7380699999999996,-12.734141000000001,10.996071
1727742425.007,63295.0,8.548388,3.2303800000000003,7.069863,-3.8394829999999995
1727742426.007,63295.0,9.026608,0.08923999999999932,-0.4782200000000012,0.5674600000000005
1727742427.007,63295.0,8.401598000000002,0.2895499999999984,0.6250099999999978,-0.3354599999999994
1727742428.007,63309.0,-11.097894000000002,7.434091000000004,19.499492000000004,-12.065401
1727742429.008,63313.0,-23.211866000000004,11.689637000000001,12.113972,-0.424335
1727742430.008,63321.0,1.446222999999998,-16.282021,-24.658089,8.376068
1727742431.008,63321.0,1.0956949999999992,-0.5367519999999999,0.35052799999999884,-0.8872799999999987
1727742432.007,63315.0,1.9888130000000004,-2.4387490000000014,-0.8931180000000012,-1.5456310000000002
1727742433.008,63308.0,2.299130000000001,-3.220011,-0.3103170000000004,-2.9096939999999996
1727742434.007,63301.0,13.259993,-0.775029,-10.960863,10.185834
1727742435.007,63301.0,12.559997999999998,0.23220999999999997,0.699995000000001,-0.467785000000001
1727742436.008,63295.0,8.238707000000002,1.2898779999999999,4.321290999999999,-3.031412999999999
1727742437.009,63295.0,8.09173,0.8267899999999999,0.14697700000000058,0.6798129999999993
1727742438.007,63296.0,-3.743146999999999,2.0629169999999997,11.834876999999999,-9.77196
1727742439.007,63300.0,-3.973993,-0.09085999999999927,0.23084600000000077,-0.32170600000000005
1727742440.007,63311.0,3.4975219999999982,2.138593000000001,-7.4715149999999975,9.610107999999999
1727742441.008,63313.0,5.991052999999999,1.8182529999999986,-2.493531000000001,4.311783999999999
1727742442.007,63312.0,10.074337000000003,-1.6159099999999995,-4.083284000000004,2.467374000000005
1727742443.007,63313.0,10.523056000000004,-0.9006690000000006,-0.44871900000000053,-0.4519500000000001
1727742444.008,63312.0,12.259457000000003,-1.4746609999999993,-1.736400999999999,0.26173999999999964
1727742445.007,63312.0,9.911912,1.6630000000000003,2.3475450000000038,-0.6845450000000035
1727742446.007,63315.0,8.919716999999999,0.30037999999999965,0.9921949999999997,-0.6918150000000001
1727742447.007,63316.0,-11.257247,6.17768,20.176963999999998,-13.999284
1727742448.008,63332.0,-10.16256,-1.645747,-1.094687,-0.55106
1727742449.008,63334.0,-2.308508999999999,-1.4995010000000004,-7.854051000000001,6.354550000000001
1727742450.007,63343.0,-10.151083,4.438659000000001,7.842574000000001,-3.4039149999999996
1727742451.007,63341.0,-1.7353210000000017,-4.452629999999999,-8.415761999999997,3.963131999999999
1727742452.007,63344.0,-2.7712009999999996,-1.642570000000001,1.035879999999998,-2.678449999999999
1727742453.008,63342.0,6.658553999999999,-7.419211000000001,-9.429754999999998,2.0105439999999977
1727742454.009,63342.0,2.1364909999999995,2.0366699999999995,4.522062999999999,-2.4853929999999993
1727742455.007,63342.0,1.6952409999999989,0.06072999999999995,0.4412500000000006,-0.38052000000000064
1727742456.007,63344.0,-1.1011839999999982,0.5919300000000001,2.796424999999997,-2.204494999999997
1727742457.008,63345.0,-4.274040000000001,1.5484610000000014,3.172856000000003,-1.6243950000000016
1727742458.008,63348.0,-2.4113970000000027,6.40508,-1.8626429999999985,8.267722999999998
1727742459.007,63343.0,12.832146,-8.862440000000001,-15.243543000000003,6.381103000000001
1727742460.008,63343.0,11.730436,0.3108000000000004,1.1017100000000006,-0.7909100000000002
1727742461.012,63346.0,4.870617999999997,2.6056480000000004,6.859818000000002,-4.254170000000002
1727742462.008,63346.0,2.6697299999999977,1.6849319999999999,2.200887999999999,-0.5159559999999992
1727742463.008,63346.0,4.125009999999998,-1.0447299999999995,-1.4552800000000001,0.41055000000000064
1727742464.008,63347.0,2.3968599999999967,1.7185299999999994,1.7281500000000012,-0.009620000000001738
1727742465.007,63344.0,11.345476999999995,-5.203413,-8.948616999999999,3.7452039999999993
1727742466.007,63343.0,13.609669999999998,-1.680777,-2.2641930000000015,0.5834160000000015
1727742467.007,63338.0,6.835129999999999,1.313408,6.774539999999999,-5.461131999999999
1727742468.007,63335.0,6.029957000000001,-1.332519,0.8051729999999977,-2.1376919999999977
1727742469.008,63334.0,1.5970200000000014,5.075175999999999,4.432936999999999,0.642239
1727742470.007,63334.0,0.7211489999999996,0.4530909999999997,0.8758710000000018,-0.42278000000000215
1727742471.007,63335.0,-3.083571,1.70317,3.8047199999999997,-2.1015499999999996
