ts,price,imbalance,total_buy,total_sell
1727875999.007,60825,0.199842,0.05187,0.147972
1727876000.007,60825,0.20111,0.05278800000000001,0.148322
1727876001.008,60841,0.674614,0.457262,0.21735200000000002
1727876002.007,60841,0.8219830000000001,0.489335,0.33264800000000005
1727876003.008,60823,1.0968710000000002,0.524685,0.5721860000000001
1727876004.008,60811,1.786276,0.525315,1.260961
1727876005.008,60807,2.2292169999999993,0.530225,1.6989919999999996
1727876006.007,60809,2.8718709999999996,1.1042949999999998,1.7675759999999996
1727876007.007,60808,2.8724609999999995,1.104885,1.7675759999999996
1727876008.007,60807,2.9000709999999996,1.106605,1.7934659999999996
1727876009.008,60807,2.936521,1.1147850000000001,1.8217359999999996
1727876010.008,60794,4.371562,1.1155850000000003,3.2559769999999997
1727876011.007,60793,5.369871999999999,1.1390550000000004,4.230816999999998
1727876012.009,60795,5.825266999999998,1.5905630000000004,4.234703999999998
1727876013.007,60795,6.037536999999999,1.5913030000000004,4.446233999999999
1727876014.008,60800,6.104125999999999,1.6565210000000006,4.4476049999999985
1727876015.008,60806,6.2908919999999995,1.8366970000000007,4.454194999999999
1727876016.008,60812,6.668429,2.2123720000000007,4.456056999999999
1727876017.008,60819,6.862377999999998,2.378721,4.483656999999998
1727876018.008,60819,6.880427999999998,2.395031,4.485396999999998
1727876019.007,60819,7.268723999999997,2.640344,4.628379999999997
1727876020.007,60802,8.598478999999998,2.640344,5.958134999999998
1727876021.008,60796,9.520499999999998,2.6407540000000003,6.879745999999998
1727876022.008,60796,9.581606999999998,2.681233,6.9003739999999985
1727876023.007,60783,12.702674999999997,4.335008,8.367666999999997
1727876024.008,60792,12.948114999999996,4.484138,8.463976999999996
1727876025.008,60792,14.043155999999994,4.48522,9.557935999999994
1727876026.008,60787,14.240554999999997,4.48956,9.750994999999996
1727876027.008,60776,14.622423999999995,4.50101,10.121413999999996
1727876028.007,60774,15.320067999999992,4.50396,10.816107999999993
1727876029.008,60775,16.058611999999993,4.648612,11.409999999999993
1727876030.007,60776,16.091581999999992,4.660182,11.431399999999993
1727876031.008,60777,16.248571999999992,4.816711999999999,11.431859999999993
1727876032.007,60775,16.568543999999992,4.969543999999998,11.598999999999993
1727876033.007,60772,16.74031799999999,4.985453999999998,11.754863999999994
1727876034.007,60771,17.03449999999999,5.063220999999997,11.971278999999994
1727876035.008,60776,18.33503699999999,6.360160999999996,11.974875999999993
1727876036.008,60777,18.871044999999988,6.896158999999996,11.974885999999993
1727876037.008,60778,18.90202999999999,6.918933999999997,11.983095999999993
1727876038.008,60778,18.91965999999999,6.936553999999997,11.983105999999992
1727876039.009,60770,19.81756399999999,6.937783999999996,12.879779999999995
1727876040.007,60771,19.83768299999999,6.944493999999996,12.893188999999994
1727876041.007,60770,19.85694799999999,6.9569939999999955,12.899953999999994
1727876042.008,60770,23.84978199999999,10.472277999999996,13.377503999999993
1727876043.007,60767,25.11608399999999,10.666859999999996,14.449223999999994
1727876044.009,60756,25.533028999999992,10.692309999999997,14.840718999999996
1727876045.007,60751,26.078004999999997,10.729539999999998,15.348464999999997
1727876046.007,60747,28.156046999999994,11.577290999999997,16.578756
1727876047.009,60746,28.200826999999997,11.609980999999996,16.590846
1727876048.007,60744,28.238999,11.613323999999997,16.625675
1727876049.007,60729,28.546138999999997,11.613963999999998,16.932175
1727876050.008,60726,29.626376,11.718755999999997,17.90762
1727876051.007,60719,30.243483999999995,11.728055999999997,18.515428
1727876052.008,60720,30.372727999999995,11.776995999999997,18.595731999999998
1727876053.008,60737,31.375015999999995,12.631213999999995,18.743802
