timestamp,symbol,price,size,side,source
1734011522595,SPOT_BTC_USDT,100982.78,0.1,BUY,0
1734011522595,SPOT_BTC_USDT,100983.77,0.14244,SELL,0
1734011522795,SPOT_ETH_USDT,3936.83,0.0001,BUY,0
1734011522795,SPOT_BTC_USDT,100977.94,0.147144,SELL,0
1734011522795,SPOT_BTC_USDT,100973.94,0.07255,SELL,0
1734011522995,SPOT_BTC_USDT,100971.9,0.02441,SELL,0
1734011522995,SPOT_BTC_USDT,100970.58,0.00098,SELL,0
1734011523195,SPOT_BTC_USDT,100970.39,0.09638,SELL,0
1734011523395,SPOT_ETH_USDT,3936.87,10.0843,BUY,0
1734011523395,SPOT_ETH_USDT,3936.73,0.0102,SELL,0
1734011523395,SPOT_ETH_USDT,3936.87,0.000255,BUY,0
1734011523595,SPOT_ETH_USDT,3937.15,0.3048,SELL,0
1734011523595,SPOT_ETH_USDT,3937.11,2.889486,BUY,0
1734011523595,SPOT_BTC_USDT,100970.8,0.014022,BUY,0
1734011523595,SPOT_BTC_USDT,100969.38,0.00048,SELL,0
1734011523795,SPOT_ETH_USDT,3937.16,0.144,BUY,0
1734011523795,SPOT_BTC_USDT,100971.83,0.519201,SELL,0
1734011523995,SPOT_ETH_USDT,3937.46,0.000355,SELL,0
1734011523995,SPOT_ETH_USDT,3937.15,0.0123,SELL,0
1734011524195,SPOT_ETH_USDT,3937.16,0.0961,BUY,0
1734011524195,SPOT_ETH_USDT,3937.15,0.0013,SELL,0
1734011524195,SPOT_BTC_USDT,100969.39,0.00459,BUY,0
1734011524395,SPOT_ETH_USDT,3937.67,0.000405,BUY,0
1734011524395,SPOT_ETH_USDT,3937.39,0.3293,SELL,0
1734011524395,SPOT_BTC_USDT,100969.38,0.00015,SELL,0
1734011524595,SPOT_ETH_USDT,3937.49,0.047,SELL,0
1734011524795,SPOT_BTC_USDT,100973.5,1e-05,SELL,0
1734011524995,SPOT_ETH_USDT,3937.49,0.0026,SELL,0
1734011524995,SPOT_BTC_USDT,100969.38,0.01389,SELL,0
1734011525195,SPOT_ETH_USDT,3937.49,0.0055,SELL,0
1734011525195,SPOT_ETH_USDT,3937.55,0.0001,BUY,0
1734011525395,SPOT_ETH_USDT,3937.5,10.1207,BUY,0
1734011525595,SPOT_ETH_USDT,3937.51,1.4484,BUY,0
