symbol,open,close,low,high,volume,amount,type,startTime,endTime
SPOT_ETH_USDT,3739.59,3738.45,3737.4,3740.96,461.718573,1726805.23258787,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98885.08,98862.81,98939.57,41.768013,4131363.61970379,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3739.59,3738.51,3737.4,3740.96,463.653742,1734040.05537806,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98893.91,98862.81,98939.57,41.772613,4131818.51059139,1m,1733928060000,1733928120000
SPOT_WOO_USDT,0.29141,0.2909,0.2908,0.29141,13428.76,3908.0749504,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3739.59,3738.17,3737.4,3740.96,467.146567,1747097.19818631,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98866.01,98862.81,98939.57,42.468447,4200630.73127107,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98863.31,98855.17,98939.57,43.157013,4268707.81879657,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3739.59,3736.9,3736.51,3740.96,480.801624,1798134.35090308,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98859.88,98855.17,98939.57,43.219747,4274909.51286707,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3739.59,3737.0,3736.51,3740.96,486.452526,1819252.9130749,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3739.59,3736.37,3736.37,3740.96,495.265881,1852186.13328806,1m,1733928060000,1733928120000
SPOT_BTC_USDT,98900.0,98845.56,98840.41,98939.57,43.712086,4323578.08515125,1m,1733928060000,1733928120000
SPOT_ETH_USDT,3736.07,3735.02,3735.02,3736.37,54.800006,204726.47807756,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98828.81,98825.54,98841.3,1.191479,117761.36545917,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2904,0.2904,0.2905,1881.1,546.35744,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98840.1,98825.54,98847.96,2.67667,264547.75221473,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3735.58,3735.02,3736.37,67.267389,251298.24952829,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98816.01,98816.01,98847.96,3.378518,333911.20860172,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.7,3734.67,3736.37,81.003049,302600.61653249,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2904,0.2904,0.2905,2741.5,796.2176,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2903,0.2903,0.2905,3602.3,1046.10784,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98816.01,98816.0,98847.96,3.486498,344581.36134542,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.64,3734.03,3736.37,82.430149,307930.31593649,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3735.02,3734.03,3736.37,97.492128,364182.00419029,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98816.01,98815.64,98847.96,3.509768,346880.83517536,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98816.01,98815.64,98847.96,3.52891,348772.41346356,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.71,3734.03,3736.37,97.98893,366037.3379501,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2903,0.2903,0.2905,4463.1,1295.99808,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.94,98804.93,98847.96,4.250052,420031.22829895,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.22,3734.03,3736.37,101.090957,377622.09954882,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.66,3734.03,3736.37,149.813827,559569.23921526,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2904,0.2903,0.2905,5646.8,1639.74456,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98805.01,98804.93,98847.96,8.159622,806322.05895235,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.04,3733.91,3736.37,173.921177,649596.28770187,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.02,98802.1,98847.96,9.157526,904921.69628333,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.47,3733.91,3736.37,178.777499,667730.13241461,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.26,98802.1,98847.96,9.578746,946540.06455583,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2904,0.2903,0.2905,6537.5,1898.40384,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.74,98802.1,98847.96,9.584566,947115.14090083,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3734.36,3733.91,3736.37,188.908198,705563.22912269,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2903,0.2903,0.2905,7398.1,2148.23602,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.74,98802.1,98847.96,9.716625,960163.30105523,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3733.34,3733.18,3736.37,202.883777,757745.80891408,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.47,3731.92,3736.37,224.167759,837195.6103898,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98794.56,98775.84,98847.96,13.165466,1300852.49061542,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.67,3731.42,3736.37,248.127648,926611.03296032,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.29006,0.29006,0.2905,10984.8,3188.95636,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98786.38,98775.84,98847.96,13.913803,1374781.762777,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.87,3730.4,3736.37,270.212652,1009009.32038703,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98760.89,98752.0,98847.96,15.932522,1574168.68025644,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.54,3730.4,3736.37,295.621606,1103809.73888745,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98763.86,98750.13,98847.96,16.792265,1659079.57291758,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.78,3730.4,3736.37,310.338889,1158727.82438403,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98786.44,98750.13,98847.96,17.313668,1710585.43467142,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.22,3730.22,3736.37,334.022805,1247088.87816779,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2898,0.2898,0.2905,16413.3,4762.75254,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98763.4,98750.13,98847.96,18.681607,1845718.69406366,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98756.81,98750.13,98847.96,19.057358,1882827.41577368,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.62,3730.22,3736.37,340.179005,1270055.31720779,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.51,3730.22,3736.37,371.900205,1388430.77341201,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.29,0.2898,0.2905,17275.2,5012.70354,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98791.99,98750.13,98847.96,23.439632,2315620.59405784,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.33,3730.22,3736.37,384.983655,1437262.70919651,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98784.52,98750.13,98847.96,24.564326,2426730.8276177,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.29009,0.2898,0.2905,17310.3,5022.885699,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3733.16,3730.22,3736.37,406.672757,1518223.06994221,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98784.51,98750.13,98847.96,24.588668,2429135.55473927,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.42,3730.22,3736.37,410.088237,1530971.91284771,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98777.77,98750.13,98847.96,28.470294,2812609.51387307,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.62,3730.22,3736.37,421.716296,1574369.78516949,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98767.75,98750.13,98847.96,29.258504,2890466.09187627,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.63,3730.22,3736.37,424.088816,1583222.97007595,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98768.78,98750.13,98847.96,31.056836,3068086.42197481,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.61,3730.22,3736.37,424.730216,1585616.41882995,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98789.1,98750.13,98847.96,31.109958,3073333.93474535,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98778.8,98750.13,98847.96,31.528012,3114632.27359528,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.61,3730.22,3736.37,425.369316,1588001.25981695,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.96,3730.22,3736.37,429.025103,1601642.60264499,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98777.9,98750.13,98847.96,32.224669,3183446.66185058,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.15,3730.22,3736.37,429.819803,1604607.77313799,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98762.98,98750.13,98847.96,33.033841,3263364.07589093,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98748.95,98748.95,98847.96,33.608857,3320150.11518342,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.09,3730.09,3736.37,451.440854,1685271.67083144,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98748.97,98739.8,98847.96,34.711965,3429081.98608142,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2897,0.28963,0.2905,34003.85,9858.6779975,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.32,3730.01,3736.37,465.321783,1737050.93038602,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3729.73,3729.73,3736.37,469.125583,1751239.70360202,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98748.0,98739.8,98847.96,34.742177,3432065.32106472,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.69,3729.73,3736.37,496.2691,1852498.24698231,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98745.97,98739.8,98847.96,35.130774,3470441.25002966,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2898,0.28963,0.2905,34896.65,10117.4114375,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.7,3729.73,3736.37,496.6769,1854019.62498831,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98755.99,98739.8,98847.96,35.177659,3475071.47111954,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98758.8,98739.8,98847.96,35.189844,3476274.84458294,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.7,3729.73,3736.37,496.8433,1854640.41339831,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98755.98,98739.8,98847.96,35.638083,3520541.13160764,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.7,3729.73,3736.37,497.454257,1856919.72456862,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.41,3729.73,3736.37,565.086552,2109226.45231357,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98755.98,98739.8,98847.96,35.658375,3522545.08705054,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.28982,0.28963,0.2905,34904.92,10119.8082489,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98750.02,98739.8,98847.96,36.127184,3568842.73258028,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.07,3729.73,3736.37,569.200399,2124572.22512798,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.26,3729.52,3736.37,608.006642,2269330.11473822,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.29,0.28963,0.2905,43915.02,12731.1865473,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98771.01,98739.8,98847.96,42.82207,4229943.26294788,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.75,3729.52,3736.37,614.592377,2293905.21138473,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98795.6,98739.8,98847.96,43.344789,4281581.20455188,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2901,0.28963,0.2905,43945.32,12739.9765773,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.75,3729.52,3736.37,620.329877,2315316.13078073,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98795.81,98739.8,98847.96,43.356199,4282708.46365428,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98802.45,98739.8,98847.96,43.599597,4306756.14056978,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.38,3729.52,3736.37,622.598377,2323782.03864873,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.45,3729.52,3736.37,623.717386,2327958.69991478,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98802.44,98739.8,98847.96,43.604412,4307231.87689598,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.45,3729.52,3736.37,623.731736,2328012.26057228,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98789.2,98739.8,98847.96,43.659454,4312669.78459508,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2902,0.28963,0.2905,44836.72,12998.6608573,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.31,98739.8,98847.96,44.055345,4351785.84522848,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.45,3729.52,3736.37,625.542341,2334770.01232455,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.87,3729.52,3736.37,632.0788,2359167.91877918,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98824.0,98739.8,98847.96,44.223968,4368448.8319355,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2903,0.28963,0.2905,44922.72,13023.6322273,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2902,0.28963,0.2905,44948.62,13031.1484073,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.15,3729.52,3736.37,653.806481,2440262.76114619,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98811.5,98739.8,98847.96,44.235888,4369626.8038905,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98813.63,98739.8,98847.96,48.527031,4793690.3462431,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.01,3729.52,3736.37,668.73035,2495950.42427842,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.56,3729.52,3736.37,684.211427,2553702.2835247,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98808.22,98739.8,98847.96,49.374873,4877465.53265735,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98773.64,98739.8,98847.96,53.79998,5314581.33454223,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3729.71,3729.27,3736.37,694.327632,2591433.89319344,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3729.85,3729.27,3736.37,698.235501,2606009.31891195,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98792.82,98739.8,98847.96,54.540357,5387708.12181151,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98789.4,98739.8,98847.96,54.983395,5431475.73613591,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3729.79,3729.27,3736.37,698.682404,2607676.29433035,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98789.88,98739.8,98847.96,54.997037,5432823.42178221,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3729.99,3729.27,3736.37,705.012004,2631284.30025335,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.87,3729.27,3736.37,733.951941,2739238.04071089,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98775.3,98739.8,98847.96,55.995707,5531482.94537511,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.85,3729.27,3736.37,753.079909,2810613.25632124,1m,1733928120000,1733928180000
SPOT_WOO_USDT,0.2905,0.2901,0.28963,0.2905,45315.92,13137.7021373,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98803.52,98739.8,98847.96,56.91651,5622458.97112296,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3732.2,3729.27,3736.37,756.870678,2824761.00935513,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98824.0,98739.8,98847.96,56.997785,5630489.65065116,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3731.21,3729.27,3736.37,790.488478,2950223.57947713,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98813.62,98739.8,98847.96,57.005388,5631240.86995936,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.69,3729.27,3736.37,792.301734,2956989.25228137,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98816.78,98739.8,98847.96,57.362721,5666551.8528051,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.58,3729.27,3736.37,792.323834,2957071.70528937,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98804.01,98739.8,98847.96,57.737481,5703579.5130746,1m,1733928120000,1733928180000
SPOT_ETH_USDT,3736.07,3730.99,3729.27,3736.37,799.475291,2983751.516612,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98840.01,98796.14,98739.8,98847.96,59.015345,5829837.73249716,1m,1733928120000,1733928180000
SPOT_BTC_USDT,98803.2,98798.21,98796.3,98803.4,0.326503,32258.63612289,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3730.78,3730.77,3731.0,4.78235,17842.604102,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98802.91,98793.03,98812.6,1.142861,112910.88479245,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3730.87,3730.46,3731.3,10.77995,40218.13240839,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98802.91,98793.03,98812.6,1.158701,114475.93761665,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3731.33,3730.46,3731.5,11.033137,41162.8757571,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3731.11,3730.46,3731.5,17.253895,64375.04882276,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98807.99,98793.03,98812.6,1.203762,118928.22022265,1m,1733928180000,1733928240000
SPOT_WOO_USDT,0.2901,0.2901,0.2901,0.2901,1367.9,396.82779,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3730.81,3730.46,3731.5,18.601982,69404.48699344,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98799.6,98793.03,98812.6,1.373505,135699.91412823,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98792.1,98792.1,98812.6,1.635902,161622.99832833,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3730.81,3730.16,3731.5,19.259982,71859.30998844,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3730.8,3730.16,3731.5,19.264882,71877.59090844,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98791.31,98791.3,98812.6,2.623992,259237.70382533,1m,1733928180000,1733928240000
SPOT_WOO_USDT,0.2901,0.29027,0.2901,0.29027,4388.8,1273.704433,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3731.49,3730.16,3731.5,40.073682,149521.67486044,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98795.05,98791.3,98812.6,2.889995,285517.38698233,1m,1733928180000,1733928240000
SPOT_WOO_USDT,0.2901,0.29022,0.2901,0.29027,4662.55,1353.152158,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98802.2,98791.3,98813.62,4.409595,435660.98847833,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3731.79,3730.16,3731.99,46.037444,171777.52061655,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3732.49,3730.16,3732.49,47.649686,177794.82345693,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98834.39,98791.3,98834.39,6.355228,627924.1725653,1m,1733928180000,1733928240000
SPOT_BTC_USDT,98803.2,98852.0,98791.3,98858.9,6.616557,653754.78882788,1m,1733928180000,1733928240000
SPOT_ETH_USDT,3731.0,3733.2,3730.16,3733.2,49.968999,186452.38669366,1m,1733928180000,1733928240000
