timestamp,symbol,price,size,side,source
1733928114995,SPOT_BTC_USDT,98885.08,0.34191,BUY,0
1733928114995,SPOT_BTC_USDT,98891.98,0.00109,SELL,0
1733928114995,SPOT_BTC_USDT,98890.1,0.006858,BUY,0
1733928114995,SPOT_BTC_USDT,98884.1,0.010036,SELL,0
1733928114995,SPOT_ETH_USDT,3738.45,0.628,BUY,0
1733928114995,SPOT_ETH_USDT,3738.14,0.14075,BUY,0
1733928115195,SPOT_BTC_USDT,98884.1,0.00215,SELL,0
1733928115195,SPOT_ETH_USDT,3738.6,0.0034,BUY,0
1733928115595,SPOT_BTC_USDT,98893.9,0.00069,SELL,0
1733928115595,SPOT_BTC_USDT,98893.91,0.00054,BUY,0
1733928115595,SPOT_ETH_USDT,3738.6,0.5436,BUY,0
1733928115795,SPOT_BTC_USDT,98893.91,0.00122,BUY,0
1733928115795,SPOT_ETH_USDT,3738.6,1.3878,BUY,0
1733928115995,SPOT_ETH_USDT,3738.51,0.000369,SELL,0
1733928116195,SPOT_ETH_USDT,3738.45,0.8658,SELL,0
1733928116195,SPOT_BTC_USDT,98884.2,0.02927,BUY,0
1733928116395,SPOT_BTC_USDT,98893.1,1e-05,BUY,0
1733928116395,SPOT_BTC_USDT,98894.2,1e-05,SELL,0
1733928116395,SPOT_BTC_USDT,98893.85,0.0351,SELL,0
1733928116395,SPOT_BTC_USDT,98893.91,0.00018,BUY,0
1733928116595,SPOT_BTC_USDT,98892.46,0.271108,SELL,0
1733928116595,SPOT_BTC_USDT,98892.87,0.30835,SELL,0
1733928116595,SPOT_BTC_USDT,98893.05,0.0055,BUY,0
1733928116595,SPOT_ETH_USDT,3738.25,0.045925,SELL,0
1733928116595,SPOT_ETH_USDT,3738.43,0.4356,SELL,0
1733928116795,SPOT_BTC_USDT,98884.07,0.040869,SELL,0
1733928116795,SPOT_BTC_USDT,98884.01,0.001,SELL,0
1733928116795,SPOT_BTC_USDT,98884.02,0.00083,BUY,0
1733928116795,SPOT_ETH_USDT,3738.29,0.4069,BUY,0
1733928116995,SPOT_BTC_USDT,98866.01,0.003527,SELL,0
1733928116995,SPOT_BTC_USDT,98884.1,8e-05,BUY,0
1733928116995,SPOT_WOO_USDT,0.2909,859.0,SELL,0
1733928116995,SPOT_ETH_USDT,3738.17,1.46,SELL,0
1733928116995,SPOT_ETH_USDT,3738.03,0.2786,SELL,0
1733928117195,SPOT_ETH_USDT,3738.02,0.0648,SELL,0
1733928117195,SPOT_ETH_USDT,3737.58,0.11,SELL,0
1733928117195,SPOT_ETH_USDT,3737.59,0.0022,BUY,0
1733928117195,SPOT_BTC_USDT,98866.97,0.165917,SELL,0
1733928117195,SPOT_BTC_USDT,98874.4,0.000505,BUY,0
1733928117195,SPOT_BTC_USDT,98872.02,0.00013,BUY,0
1733928117195,SPOT_BTC_USDT,98874.8,0.06974,SELL,0
1733928117395,SPOT_BTC_USDT,98872.49,0.00227,SELL,0
1733928117395,SPOT_BTC_USDT,98872.01,0.001,SELL,0
1733928117395,SPOT_ETH_USDT,3737.82,0.0036,BUY,0
1733928117395,SPOT_ETH_USDT,3738.0,1.2904,SELL,0
1733928117595,SPOT_ETH_USDT,3737.66,7.3473,SELL,0
1733928117595,SPOT_ETH_USDT,3737.82,0.0026,BUY,0
1733928117595,SPOT_ETH_USDT,3737.32,2.13589,SELL,0
1733928117595,SPOT_ETH_USDT,3737.49,0.0011,BUY,0
1733928117595,SPOT_BTC_USDT,98871.79,0.226599,SELL,0
1733928117595,SPOT_BTC_USDT,98870.9,0.03992,SELL,0
1733928117795,SPOT_ETH_USDT,3736.51,0.0741,BUY,0
1733928117795,SPOT_ETH_USDT,3737.53,2.3577,SELL,0
1733928117795,SPOT_ETH_USDT,3737.33,0.135,SELL,0
1733928117795,SPOT_BTC_USDT,98856.48,0.042965,SELL,0
1733928117795,SPOT_BTC_USDT,98867.79,0.01923,SELL,0
1733928117995,SPOT_ETH_USDT,3736.9,0.1301,SELL,0
1733928117995,SPOT_ETH_USDT,3736.91,0.000267,BUY,0
1733928117995,SPOT_BTC_USDT,98863.31,0.08336,SELL,0
1733928117995,SPOT_BTC_USDT,98855.17,0.03392,SELL,0
1733928117995,SPOT_BTC_USDT,98859.2,0.00301,BUY,0
1733928118195,SPOT_ETH_USDT,3737.22,2.6588,SELL,0
1733928118195,SPOT_ETH_USDT,3737.23,2.6737,BUY,0
