ts,price,imbalance,total_buy,total_sell
1727742411007.0,2610.3,0.1362,0.0001,0.1361
1727742412008.0,2610.3,0.15949999999999998,0.0001,0.1594
1727742413008.0,2610.3,3.8921,3.7326,0.15949999999999998
1727742414007.0,2610.3,3.9021,3.7361,0.16599999999999998
1727742415008.0,2610.2,5.696481,3.7463,1.950181
1727742416008.0,2609.7,16.392869,3.7464000000000004,12.646469
1727742417008.0,2609.7,16.609269,3.9392000000000005,12.670069
1727742418008.0,2610.1,23.804581,8.013012,15.791569
1727742419008.0,2609.9,32.530057,8.013112,24.516945
1727742420008.0,2609.8,32.593757,8.013212,24.580545
1727742421007.0,2609.4,51.430524000000005,8.025212,43.405312
1727742422008.0,2608.6,61.128132,8.160084,52.968048
1727742423008.0,2608.6,61.591732,8.521084,53.070648
1727742424007.0,2608.5,62.879961,8.521184,54.358777
1727742425008.0,2609.0,64.330194,9.906616999999999,54.423577
1727742426009.0,2609.0,64.536894,10.058117,54.478777
1727742427008.0,2609.0,64.54179400000001,10.062916999999999,54.478877000000004
1727742428008.0,2609.7,78.536311,23.963117,54.573194
1727742429009.0,2609.8,83.020015,24.603921,58.41609400000001
1727742430008.0,2610.3,90.13222200000001,31.693427999999997,58.43879400000001
1727742431007.0,2610.3,90.372322,31.693427999999997,58.67889400000001
1727742432008.0,2610.4,101.152848,33.342028,67.81082
1727742433008.0,2610.3,151.51624800000002,33.342028,118.17422
1727742434008.0,2610.0,172.623562,33.377393,139.246169
1727742435008.0,2609.9,172.62366200000002,33.377393,139.246269
1727742436008.0,2609.6,177.76655600000004,33.397693000000004,144.36886300000003
1727742437007.0,2609.5,178.29925600000004,33.930293000000006,144.36896300000004
1727742438008.0,2609.8,181.36025600000005,36.99119300000001,144.36906300000004
1727742439008.0,2610.1,181.73586300000005,37.36680000000002,144.36906300000004
1727742440008.0,2610.5,188.52116300000006,44.12960000000002,144.39156300000005
1727742441007.0,2610.6,199.38700200000005,48.36110000000002,151.02590200000003
1727742442008.0,2610.7,200.05542500000004,48.96710000000002,151.08832500000003
1727742443008.0,2610.8,200.53941400000005,49.34400000000002,151.19541400000003
1727742444007.0,2610.8,202.48771400000007,51.132600000000025,151.35511400000004
1727742445007.0,2610.8,202.8530140000001,51.138600000000025,151.71441400000006
1727742446008.0,2611.2,260.8170260000001,59.20251200000003,201.61451400000007
1727742447008.0,2611.3,267.4971260000001,60.589412000000024,206.90771400000008
1727742448008.0,2612.1,292.0938430000001,83.65212900000002,208.4417140000001
1727742449008.0,2612.1,297.96914300000014,86.55412900000003,211.41501400000013
1727742450008.0,2612.6,306.8117010000002,94.88158700000004,211.93011400000015
1727742451008.0,2612.4,311.99684800000017,95.30013400000004,216.69671400000013
1727742452008.0,2612.9,322.1603620000002,100.61475800000007,221.5456040000001
1727742453008.0,2612.4,361.70532000000014,102.92727600000006,258.7780440000001
1727742454008.0,2612.5,368.9056900000001,109.53347600000006,259.37221400000004
1727742455007.0,2612.7,371.5529790000001,112.13817600000009,259.414803
1727742456008.0,2612.8,381.7631790000001,120.9201760000001,260.843003
1727742457008.0,2613.0,383.29707900000005,122.10087600000011,261.19620299999997
1727742458008.0,2613.0,390.8687410000001,127.01183800000011,263.856903
1727742459008.0,2612.4,432.80608000000007,127.0406090000001,305.765471
1727742460008.0,2612.4,453.5559380000001,139.2399090000001,314.31602899999996
1727742461012.0,2612.6,461.3161410000001,146.90971200000013,314.40642899999995
1727742462009.0,2612.7,462.9649360000001,148.55280700000012,314.41212899999994
1727742463007.0,2612.7,467.243336,152.83110700000012,314.4122289999999
1727742464008.0,2613.0,496.25473600000004,181.8079070000001,314.4468289999999
1727742465008.0,2612.6,515.467836,181.8079070000001,333.65992899999986
1727742466008.0,2612.5,515.762583,181.9154320000001,333.8471509999999
1727742467008.0,2612.5,531.5614499999999,181.9245990000001,349.63685099999987
1727742468008.0,2612.4,541.47375,181.9245990000001,359.5491509999999
1727742469007.0,2612.4,542.3281499999999,182.3325990000001,359.99555099999986
1727742470008.0,2612.4,542.4962499999999,182.4325990000001,360.0636509999998
1727742471008.0,2612.6,571.5282539999998,211.45410300000006,360.0741509999998
1727742472008.0,2612.7,585.7803899999999,225.68623900000006,360.0941509999998
1727742473009.0,2612.3,629.7436029999999,226.98145200000005,402.7621509999998
1727742474008.0,2611.7,647.6424159999999,227.00183600000003,420.64057999999983
1727742475008.0,2611.5,648.5478749999997,227.13003600000002,421.4178389999998
1727742476008.0,2611.4,649.1353749999998,227.13013600000002,422.0052389999998
1727742477008.0,2611.4,649.5354749999998,227.53013600000003,422.00533899999976
1727742478008.0,2611.3,651.1407839999998,227.56013600000003,423.58064799999977
1727742479008.0,2610.8,686.8662589999998,227.56013600000003,459.3061229999998
1727742480008.0,2610.7,686.9398589999998,227.56523600000003,459.37462299999976
1727742481007.0,2610.9,697.2505329999998,234.72353600000005,462.52699699999977
1727742482008.0,2611.0,700.5707329999998,235.49943600000006,465.07129699999973
1727742483008.0,2611.0,700.5708329999998,235.49943600000006,465.0713969999997
1727742484008.0,2611.0,700.5709329999997,235.49953600000006,465.0713969999997
1727742485008.0,2611.0,700.5709329999997,235.49953600000006,465.0713969999997
1727742486008.0,2611.0,700.5709329999997,235.49953600000006,465.0713969999997
1727742487008.0,2611.3,737.7556509999997,272.6841540000001,465.0714969999997
1727742488007.0,2611.4,745.6002509999998,280.5287540000001,465.0714969999997
1727742489008.0,2611.4,750.6270509999997,280.5487540000001,470.0782969999997
1727742490008.0,2611.4,751.3656959999997,281.22365300000007,470.14204299999966
1727742491008.0,2611.4,751.5166959999997,281.37265300000007,470.14404299999967
1727742492008.0,2611.8,761.2132869999998,291.0651440000001,470.14814299999966
1727742493008.0,2611.9,767.8208869999997,297.6726440000001,470.14824299999964
1727742494009.0,2611.7,775.5999869999998,303.3376440000001,472.26234299999965
1727742495007.0,2611.6,777.1273869999998,304.6183440000001,472.5090429999996
1727742496008.0,2611.6,777.2175869999996,304.6183440000001,472.5992429999996
1727742497008.0,2611.6,777.2199869999997,304.6183440000001,472.60164299999957
1727742498007.0,2611.6,777.2199869999997,304.6183440000001,472.60164299999957
1727742499007.0,2611.6,778.4860869999997,304.6374440000001,473.8486429999996
1727742500009.0,2611.6,780.0638019999997,304.64424400000007,475.4195579999996
1727742501008.0,2611.3,788.8863859999997,304.64434400000005,484.2420419999996
1727742502007.0,2611.3,789.2917859999995,305.049644,484.2421419999996
1727742503007.0,2610.7,806.7399149999995,305.049744,501.69017099999957
1727742504007.0,2610.3,815.2251149999995,305.05484399999995,510.1702709999995
1727742505007.0,2610.2,815.4670809999994,305.28054399999996,510.1865369999995
1727742506008.0,2609.8,828.0928199999994,305.28354399999995,522.8092759999994
1727742507008.0,2609.4,828.4708019999994,305.32654399999996,523.1442579999994
1727742508008.0,2609.4,828.4912019999992,305.32654399999996,523.1646579999993
1727742509008.0,2609.4,828.8913019999993,305.72664399999996,523.1646579999993
1727742510007.0,2609.4,829.4144299999994,305.7320439999999,523.6823859999994
1727742511008.0,2608.8,833.3976279999993,305.7321439999999,527.6654839999993
